Index    MemFree      SwapFree      AnonPages     Cached        Active         Inactive
55	2628		10236		55464	45316		82572		18404
56	2992		10236		55464	44820		82576		17956
57	2992		10236		55464	44820		82576		17956
58	2796		10236		55464	45136		82856		17956
59	3160		10236		55308	44820		82420		17956
60	3160		10236		55308	44820		82420		17956
61	3020		10236		55308	45080		82644		17956
62	2656		10236		55484	45276		82808		18148
63	2992		10236		55484	44820		82596		17956
64	2832		10236		55680	44820		82760		17956
65	2432		10236		55556	45360		83036		18108
66	2908		10236		55556	44820		82668		17956
67	2908		10236		55556	44820		82668		17956
68	2364		10236		55980	44988		83092		18096
69	2728		10236		56572	44028		84344		16480
70	3036		10236		56588	43576		84208		16204
71	2200		10236		56992	44136		84996		16356
72	2256		10236		57052	44028		84748		16552
73	2040		10236		57444	43820		85964		15508
74	1600		10236		58680	43188		87544		14436
75	1804		10232		58548	43176		88360		13500
76	1892		10208		58580	43092		88720		13104
77	1736		10176		59468	42380		90052		11968
78	2236		10176		59520	41920		88980		12536
79	2336		10176		60012	41396		90296		11204
80	4744		10176		57164	41772		87448		11580
81	5472		10176		57164	41056		86732		11580
82	4996		10176		57164	41648		87340		11532
83	5272		10176		56820	41680		86996		11596
84	5916		10176		56820	41056		86436		11532
85	5440		10176		56820	41508		86884		11536
86	5916		10176		56820	41056		86436		11532
87	5916		10176		56820	41056		86436		11532
88	5720		10176		56820	41372		86716		11532
89	6028		10176		56716	41056		86332		11532
90	6028		10176		56716	41056		86332		11532
91	5616		10176		56908	41316		86720		11532
92	5480		10176		56720	41588		86636		11764
93	5928		10176		56720	41136		86336		11612
94	5956		10176		56720	41136		86336		11612
95	5496		10176		56724	41684		86708		11756
96	5916		10176		56724	41148		86340		11624
97	5916		10176		56724	41148		86340		11624
98	5544		10176		56832	41544		86520		11936
99	4984		10176		56832	42092		87032		11984
100	5068		10176		56832	42000		87036		11888
101	4972		10176		56844	42092		87048		11944
102	4896		10176		56852	42168		87060		12044
103	2904		10176		57396	43464		87128		13812
104	1896		10160		57660	44152		87772		14172
105	1876		10100		59784	41908		90536		11324
106	2040		10092		59972	41532		90952		10672
107	2516		10092		59972	40936		90508		10576
108	2516		10092		59972	41012		90564		10576
109	2516		10092		59972	40936		90508		10576
110	2516		10092		59972	40936		90508		10576
111	2432		10092		60104	40948		90768		10460
112	2320		10092		60136	41076		90872		10516
113	2188		10092		60136	41204		90872		10644
114	2188		10092		60136	41204		90872		10644
115	2188		10092		60136	41204		90872		10644
116	2188		10092		60136	41204		90872		10644
117	2056		10092		60136	41332		90872		10772
118	2056		10092		60136	41332		90872		10772
119	2056		10092		60136	41332		90872		10772
120	2056		10092		60136	41332		90872		10772
121	1936		10092		60136	41460		90872		10900
122	1936		10092		60088	41460		90824		10900
123	1936		10092		60088	41460		90824		10900
124	1936		10092		60088	41460		90824		10900
125	1936		10092		60088	41460		90824		10900
126	1804		10092		60084	41588		90820		11028
127	1804		10092		60084	41588		90820		11028
128	1804		10092		60084	41588		90820		11028
129	1804		10092		60084	41588		90820		11028
130	1804		10092		60084	41588		90820		11028
131	2356		10092		60084	40996		90848		10404
132	2356		10092		60084	40996		90848		10404
133	2356		10092		60084	40996		90848		10404
134	2356		10092		60084	40996		90848		10404
135	2356		10092		60084	40996		90848		10404
136	2272		10092		60084	41124		90848		10532
137	2272		10092		60084	41124		90848		10532
138	2272		10092		60084	41124		90848		10532
139	2272		10092		60084	41124		90848		10532
140	2140		10092		60084	41252		90848		10660
141	2140		10092		60084	41252		90848		10660
142	2140		10092		60084	41252		90848		10660
143	2140		10092		60084	41252		90848		10660
144	2140		10092		60084	41252		90848		10660
145	2140		10092		60080	41252		90844		10660
146	2020		10092		60080	41380		90844		10788
147	2020		10092		60080	41380		90844		10788
148	2020		10092		60080	41380		90844		10788
149	2020		10092		60080	41380		90844		10788
150	2020		10092		60080	41380		90844		10788
151	1888		10092		60080	41508		90844		10916
152	1888		10092		60080	41508		90844		10916
